ID Produit;Nom du Vin;Prix Unitaire (€);Stock Actuel
4925;Cave de Castelmaure Corbières Rouge N°3 2017;23.2;0
4931;Marcel Richaud Cairanne Rouge L'Ebrescade 2017;27.8;11
4932;Marcel Richaud Cairanne Rouge Les Estrambords 2011;25.7;0
4934;Marcel Richaud Rasteau Rouge 2017;22.2;57
4940;Oratoire Saint Martin Cairanne Blanc Haut-Coustias 2017;20.5;44
4970;Champagne Larmandier-Bernier Terre de Vertus Premier Cru 2011;49.5;0
4974;Château du Couvent Pomerol 2017;23.0;2
4975;Château Cordet Margaux 2013;23.7;15
4980;Château La Tour l'Aspic Pauillac 2014;26.5;88
4994;Domaine Peyre Rose Syrah Léone 2008;78.0;7
4995;Domaine Peyre Rose Oro Blanc 2002;78.0;0
4996;Domaine Peyre Rose Marlène N°3 2008;78.0;33
5000;David Duband Côtes de Nuits Villages 2017;27.3;0
5001;David Duband Charmes-Chambertin Grand Cru 2014;217.5;20
5002;David Duband Morey-Saint-Denis 1er Cru Les Broc 2016;64.9;1
5003;David Duband Morey-Saint-Denis 2017;48.7;9
5004;David Duband Vosne Romanée 2017;59.4;1
5006;David Duband Nuits-Saint-Georges 2017;48.7;0
5007;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2014;105.0;17
5008;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013;105.0;10
5010;Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses 2017;55.6;17
5024;"Champagne Agrapart &amp; Fils Les 7 Crus Brut Blanc de Blancs";45.0;0
5025;"Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012";112.0;0
5026;"Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012";86.8;2
5027;"Champagne Agrapart &amp; Fils Terroirs Brut Blanc de Blancs Grand Cru";62.1;0
5047;"Champagne Petit Lebrun &amp; Fils Blanc de Blancs Grand Cru";22.5;129
5061;Lucien Boillot Gevrey Chambertin Les Evocelles 2017;52.6;24
5062;Lucien Boillot Gevrey Chambertin 2017;45.0;4
5063;Lucien Boillot Pommard 1er Cru Les Croix Noires 2017;67.0;0
5067;Albert Mann Pinot Noir Grand H 2017;59.9;0
5068;Albert Mann Pinot Noir Grand P 2017;59.9;1
5069;Albert Mann Pinot Noir Les Saintes Claires 2017;65.0;2
5382;Nouvelle-Zélande Marlborough Momo Pinot Noir 2016;22.8;11
5384;Liban Vallée de la Békaa Château Marsyas 2012;28.8;0
5391;Australie Maverick Trial Hill Riesling 2010;24.2;17
5393;Australie Harkham Wines Old Vines 2011;35.3;9
5397;Chili De Martino Viejas Tinajas Cinsault 2013;24.0;6
5398;Chili Montsecano (Ostertag) Pinot Noir 2013;39.0;10
5443;La Rectorie Banyuls Léon Parcé 2016;23.6;2
5465;Clos du Mont-Olivet Châteauneuf-du-Pape 2007;54.8;12
5474;Domaine Saint-Nicolas Fiefs Vendéens Rouge La Grande Pièce 2013;42.0;0
5484;David-Beaupère Juliénas Vayolette 2017;21.6;0
5485;Decelle-Villa Savigny-Lès-Beaune Blanc 2018;33.4;13
5486;Decelle-Villa Meursault 2018;49.5;5
5487;Decelle-Villa Nuits-Saint-Georges Rouge 2016;43.5;1
5488;Decelle-Villa Beaune Rouge 2015;43.5;17
5491;Marc Colin Et Fils Santenay Rouge 2017;26.5;15
5520;Domaine Chambeyron Côte Rôtie La Chavarine 2017;38.6;54
5522;Domaine Chambeyron Côte Rôtie L'Angéline 2017;48.4;10
5523;Domaine Chambeyron Côte Rôtie Lancement 2017;60.4;16
5524;Domaine Chambeyron Condrieu Vernon 2018;38.6;0
5544;Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016;61.6;0
5545;Marc Colin Et Fils Chassagne-Montrachet Blanc Les Caillerets 1er Cru 2016;65.9;0
5547;Thierry Germain Saumur-Champigny Terres Chaudes 2017;24.6;32
5548;Thierry Germain Saumur-Champigny Outre Terre 2017;48.8;6
5550;Thierry Germain Saumur-Champigny La Marginale 2017;34.3;0
5551;Thierry Germain Saumur-Champigny Franc De Pied 2017;36.3;18
5552;Thierry Germain Saumur Blanc Clos Roman 2016;57.7;12
5554;Thierry Germain Saumur-Champigny Clos de l'Echelier 2017;38.0;10
5561;Tempier Bandol Migoua 2017;58.0;0
5563;Tempier Bandol Tourtine 2017;58.0;0
5564;Tempier Bandol Rouge 2017;30.8;21
5565;Tempier Bandol Cabassaou 2017;92.0;0
5566;Le Pas de l'Escalette Terrasses du Larzac Le Grand Pas 2018;27.5;17
5573;Domaine Huet Vouvray Le Clos du Bourg Demi-Sec 2017;34.7;5
5574;Domaine Huet Vouvray Le Mont Moelleux Première Trie 2008;59.6;9
5580;Lucien Boillot Puligny-Montrachet 1er Cru Les Perrières 2016;83.7;18
5608;Domaine Weinbach Gewurztraminer Cuvée Théo 2018;30.5;20
5609;Domaine Weinbach Riesling Cuvée Colette 2018;38.6;25
5611;Domaine Weinbach Riesling Grand Cru Schlossberg Cuvée Ste Catherine 2018;63.4;1
5612;Domaine Weinbach Gewurztraminer Grand Cru Furstentum SGN 2010 1/2;124.8;12
5615;"Albert Boxler Pinot Gris Grand Cru Sommerberg ""W"" 2016";56.4;11
5616;"Albert Boxler Pinot Noir ""S"" 2016";38.4;6
5617;Albert Boxler Pinot Gris Réserve 2016;27.8;12
5618;"Albert Boxler Riesling Grand Cru Sommerberg ""D"" 2018";71.3;31
5619;"Albert Boxler Riesling Grand Cru Sommerberg ""E"" 2018";71.3;13
5628;Parés Baltà Penedès Hisenda Miret 2013;25.0;20
5630;Parés Baltà Penedès Electio 2013;28.0;1
5690;Domaine Hauvette IGP Alpilles Dolia 2012;44.6;8
5697;Planeta Sicilia Noto Santa Cecilia 2016;29.9;1
5700;"Gilles Robin Crozes-Hermitage Rouge ""1920"" 2016";44.5;-1
5703;Domaine de l'Ecu Muscadet Taurus 2012;29.4;1
5709;Philippe Alliet Chinon Rouge Coteau de Noiré 2016;31.7;0
5711;Albert Mann Riesling Cuvée Albert 2017;25.0;35
5712;Albert Mann Gewurztraminer Vendanges Tardives Altenbourg 2015;57.6;0
5741;Domaine Clerget Chambolle-Musigny Les Charmes 2015;73.3;0
5742;Domaine Clerget Chambolle-Musigny 2014;42.1;0
5743;Domaine Clerget Vosne-Romanée Les Violettes 2015;57.0;0
5747;Thibaud Boudignon Anjou Blanc 2018;24.5;1
5756;Huile d'Olive Extra Vierge Planeta Selezione Chef 3L;42.2;30
5766;Camille Giroud Auxey-Duresses Blanc 2017;35.6;30
5767;Camille Giroud Clos de Vougeot 2016;175.0;12
5768;Camille Giroud Maranges Rouge 1er Cru Le Croix Moines 2016;35.6;0
5769;Camille Giroud Marsannay Rouge Les Longeroies 2016;33.6;0
5770;Camille Giroud Santenay Blanc 2017;34.4;54
5771;Camille Giroud Santenay Rouge 1er Cru Clos Rousseau 2016;38.4;3
5772;Camille Giroud Santenay Rouge 2016;29.7;47
5773;Decelle-Villa Auxey-Duresses Blanc 2017;32.8;18
5794;Château Fonréaud Bordeaux Blanc Le Cygne 2016;21.7;34
5795;Château de Chantegrive Graves Blanc Caroline 2016;23.0;18
5799;Château Carbonnieux Graves Blanc 2017;40.2;0
5801;Château Monbrison Margaux Bouquet de Monbrison 2012;24.0;62
5802;Château Peymartin Saint-Julien 2014;23.8;22
5804;Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016;25.0;0
5807;Château d'Arcole Saint-Emilion Grand Cru 2016;27.3;1
5810;Château Tour De Pez Saint-Estèphe 2017;24.0;95
5817;Maison Trimbach Riesling Grand Cru Geisberg 2012;57.6;5
5818;Maison Trimbach Riesling Grand Cru Schlossberg 2015;63.5;19
5819;Maison Trimbach Riesling Cuvée Frédéric Emile 2008;56.0;1
5820;Maison Trimbach Riesling Cuvée Frédéric Emile 2012;63.5;7
5826;Agnès Levet Côte Rôtie Améthyste 2017;41.2;12
5827;Agnès Levet Côte Rôtie Maestria 2017;55.0;11
5829;Agnès Levet Côte Rôtie Péroline 2017;57.0;26
5892;Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016;191.3;10
5893;Gilbert Picq Chablis 1er Cru Vaucoupin 2016;26.6;65
5896;Thevenet Quintaine Viré-Clessé La Bongran 2015;24.7;17
5899;Stéphane Tissot Arbois Blanc Les Bruyères 2015;28.1;0
5902;Stéphane Tissot Arbois Pinot Noir Sous La Tour 2016;35.1;9
5903;Stéphane Tissot Arbois Trousseau Singulier 2017;27.3;1
5905;Domaine de Montbourgeau L'Etoile Vin Jaune 2009;43.9;0
5912;Kingsbarns Distillery Lowland Single Malt Whisky;57.0;8
5913;Darnley's London Dry Gin Original;36.0;9
5914;Darnley's London Dry Gin Spiced;36.0;2
5916;Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde;93.0;3
5917;Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain;122.0;4
5918;Wemyss Malts Single Cask Scotch Whisky Chai Caramel Latte 2002 Craigellachie;114.0;8
5922;Albert Mann Pinot Noir Clos de la Faille 2017;48.5;0
5925;Albert Mann Riesling Grand Cru Furstentum 2017;49.5;12
5932;Cognac Normandin Mercier VFC;59.9;3
5950;Domaine de Vaccelli AOP Ajaccio Rouge Granit 2016;46.0;0
5951;Domaine de Vaccelli AOP Ajaccio Rouge Granit 174 2017;74.5;6
5962;Camin Larredya Jurançon Moelleux Au Capcéu 2018;30.0;22
5967;Zind-Humbrecht Gewurztraminer Clos Windsbuhl 2012;56.3;9
5968;Zind-Humbrecht Pinot Gris Clos Windsbuhl 2013;71.5;18
5969;Zind-Humbrecht Riesling Clos Windsbuhl 2014;69.0;0
6038;I Fabbri Chianti Classico Gran Selezione 2015;48.5;11
6041;Château de Vaudieu Châteauneuf-du-Pape Amiral G 2015;71.7;4
6049;Christophe Pichon Saint-Joseph Blanc 2017;21.8;6
6050;Christophe Pichon Condrieu 2017;38.5;0
6073;Jacqueson Rully Rouge 1er Cru Les Preaux 2018;24.5;19
6095;Château de Villeneuve Saumur-Champigny Le Grand Clos 2017;29.8;3
6101;Stéphane Tissot Arbois Blanc La Mailloche 2016;36.9;16
6103;Stéphane Tissot Arbois Trousseau Amphore 2017;40.7;0
6104;Stéphane Tissot Arbois Blanc Savagnin 2015;33.2;0
6105;Stéphane Tissot Côtes du Jura Sursis 2017;34.8;1
6106;Stéphane Tissot Château-Chalon 2011;74.8;15
6107;Stéphane Tissot Arbois Vin Jaune En Spois 2011;62.4;4
6108;Gilles Robin Cornas 2016;46.0;0
6109;Gilles Robin Saint-Joseph Rouge André Péalat 2010;39.2;0
6126;Champagne Gosset Célébris Vintage 2007;135.0;10
6137;Domaine de Vaccelli Ajaccio Blanc Sirocco 2017;46.0;0
6201;David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016;105.6;7
6202;Domaine Clerget Echezeaux Grand Cru En Orveaux 2015;116.4;14
6204;Domaine Giudicelli Muscat du Cap Corse 2016;31.0;7
6205;Domaine Giudicelli Vin de France Corail Rouge 2019;20.2;109
6206;Domaine Giudicelli Patrimonio Blanc 2019;25.2;120
6207;Domaine Giudicelli Patrimonio Rouge 2016;25.2;363
6212;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015;115.0;2
6213;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016;121.0;7
6214;Domaine des Comtes Lafon Volnay 1er Cru Champans 2013;99.0;7
6215;Domaine des Comtes Lafon Volnay 1er Cru Champans 2014;115.0;4
6216;Domaine des Comtes Lafon Volnay 1er Cru Champans 2016;121.0;6
6221;Planeta Sicilia Eruzione 1614 2017;23.5;3
6222;Planeta Sicilia Passito di Noto 2016;26.4;10
6223;Planeta Sicilia Chardonnay 2017;26.7;1
6225;Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017;20.4;0
6226;Le Pas de l'Escalette Terrasses du Larzac Le Pas de D. 2017;20.4;0
6227;Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017;40.2;15
6279;Borie de Maurel Minervois Rouge Maxime 2003;45.9;10
6299;Lucien Boillot Gevrey Chambertin 1er Cru Les Cherbaudes 2017;78.0;10
6301;Borie La Vitarèle Saint-Chinian Midi Rouge 2015;40.5;20
6325;Tempier Bandol Blanc 2018;27.9;7
6328;Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018;22.4;7
6567;"Decelle-Villa Côte de Nuits Villages ""Aux Montagnes"" 2014";28.4;9
6568;Decelle-Villa Chambolle-Musigny 2017;72.0;19
6569;Decelle-Villa Chorey-Lès-Beaune 2016;29.0;6
6570;Decelle-Villa Marsannay Les Longeroies 2015;29.2;0
6572;Decelle-Villa Saint-Aubin 1er Cru Sous Roche Dumay 2015;44.0;0
6573;Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017;68.3;12
6575;Marc Colin Et Fils Saint-Aubin 1er Cru La Chatenière 2017;41.8;1
6578;Saumaize-Michelin Pouilly-Fuissé Ampélopsis 2016;40.0;0
6592;Domaine de la Monardière Vacqueyras Blanc Galéjade 2018;24.4;70
6615;Clos du Mont-Olivet Châteauneuf-du-Pape 2018;32.8;8
6620;Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2005;51.0;2
6621;Thierry Germain Saumur-Champigny La Marginale 2018;35.2;69
6622;Thierry Germain Saumur-Champigny Les Mémoires 2018;42.2;12
6626;Weingut Besson-Strasser Zürich Räuschling 2018;33.2;1
6627;Weingut Besson-Strasser Zürich Fumé 2017;41.8;16
6628;Weingut Besson-Strasser Zürich Blauer Zweigelt 2016;32.2;31
6629;Weingut Besson-Strasser Zürich Pinot Noir Cholfirst 2017;37.7;25
6631;Weingut Besson-Strasser Zürich Pinot Noir Albi 2016;47.2;12
6632;Weingut Besson-Strasser Zürich Pinot Noir Chlosterberg 2016;52.7;2
6635;Domaine de la Monardière Vacqueyras Vieilles Vignes 2016;22.4;23
6663;Catherine et Claude Maréchal Pommard La Chanière 2017;50.4;6
6664;Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2017;35.6;38
6665;Domaine Hauvette IGP Alpilles Jaspe 2017;27.7;8
6666;Domaine Hauvette IGP Alpilles Dolia 2013;48.5;24
6751;Château Simone Palette Blanc 2017;46.5;0
6753;Château Simone Palette Rouge 2015;46.5;29
6884;Domino Romano Ribera del Duero RDR 2015;46.5;12
6886;Gratavinum Priorat GV5 2011;42.0;0
6887;Gratavinum Priorat 2?r 2017;21.8;24
6920;Château Jean Faure Saint-Emilion Grand Cru 2015;50.5;1
6926;Château Jean Faure Saint-Emilion Grand Cru 2016;49.9;24
7023;Camin Larredya Jurançon Sec La Virada 2018;27.5;15
7025;Domaine Jamet Côte Rôtie Fructus Voluptas 2018;69.0;2
